19,2
1,2675
1,904
0,924
0,99
0,2
1,69
7,056
7,48
4,18
1,02
3,84
0,84
0,36
0,48
0,588
0,135
0,18
0,648
1,5
0,48
0,375
0,275
0,432
0,845
1,056
0,325
0,546
0,2
0,462
2,52
1,584
0,693
2,912
2,8
0,4
1,134
13,5
2,42
0,36
1,872
0,45
0,2295
19,8
6,804
3,2
2,7
0,704
1,496
0,935
14,04
25,92
5,6
1,44
2,16
0,45
0,343
0,352
0,21
0,504
0,252
0,144
0,33
0,2835
0,459
0,185625
0,05625
0,105
0,04725
0,03125
0,1155
0,0225
0,03
0,0735
0,32
0,27
0,275
0,128
0,162
0,16
0,0875
0,10125
0,195
0,144
0,14
0,048
0,14
0,04
0,063
0,09
0,121
0,16
0,042
0,07
0,252
0,20625
0,42
0,018
0,015
0,09
0,025
0,075
0,030625
0,035
0,104
0,1925
0,098
0,084
0,084
0,128
0,07
0,045
0,045
0,1575
0,135
0,045
0,03
0,072
0,0525
0,028
0,024
0,021
0,015
0,528
0,17325
0,15
0,198
0,288
0,01575
0,1785
0,1125
0,16875
0,098
0,015
0,0315
0,0405
0,06
0,084
0,0875
0,14
0,06
0,07
0,081
0,063
0,072
0,1215
0,056
0,054
0,03375
0,0675
0,025
0,035
0,024
0,07875
0,0735
0,0525
0,16
0,066
0,063
0,0945
0,055
0,036
0,084
0,05
0,075
0,050625
0,036
0,05
0,0175
0,02
0,03125
0,096
0,06
0,048125
0,036
0,02025
0,0225
0,04375
0,154
0,0525
0,0225
0,054
0,044
0,035
0,024
0,036
0,018
0,035
0,108
0,036
0,432
0,035
0,05775
0,0245
0,072
0,132
0,08
0,018
0,03
0,168
0,0525
0,03
0,28
0,084
0,039375
0,4455
0,165
0,0315
0,036
0,0225
0,084
0,027
0,216
0,0405
0,105
0,0175
0,16
0,018
0,0225
0,03375
0,09
0,176
0,0675
0,04
0,01575
0,03
0,054
0,315
0,176
0,05
0,4
0,21
0,36
0,075625
0,26
0,273
0,1
0,028
0,143
0,384
0,06125
0,0525
0,056
0,882
0,112
0,0875
0,03
0,07
0,039375
0,048
0,165
0,4
0,14875
0,035
0,024
0,20625
